Model,Accuracy,Precision,Recall,F1-Score,AUC,AUPRC
CatBoost,0.9992758234764862,0.948051948051948,0.7156862745098039,0.8156424581005587,0.984340722014717,0.8131969284167946
AdaBoost,0.9987491496412034,0.7710843373493976,0.6274509803921569,0.6918918918918919,0.9833898060950907,0.6767218059393822
LogisticRegression,0.9824880949768483,0.10091743119266056,0.8627450980392157,0.1806981519507187,0.9811867430676935,0.7014557325309801
LightGBM_CV,0.9982444436641972,0.0,0.0,0.0,0.9736447012064295,0.6905997506023356
XGBoost,0.9993504441557529,0.8705882352941177,0.74,0.8,0.9700228623685414,0.82688115126762
NaiveBayes,0.9935043560315127,0.19875776397515527,0.6274509803921569,0.3018867924528302,0.9618447682589872,0.21768719273054402
LightGBM,0.9922404409957516,0.16338582677165353,0.83,0.2730263157894737,0.9498684534487003,0.671648112412529
SVM,0.998288310035331,0.7307692307692307,0.37254901960784315,0.4935064935064935,0.928681090400838,0.5315301731814513
RandomForest,0.999188044503939,0.9113924050632911,0.7058823529411765,0.7955801104972375,0.9097061130740374,0.7533297569816821
DecisionTree,0.9967082885294828,0.3811881188118812,0.7549019607843137,0.506578947368421,0.8767370387572628,0.5069554473051038
KNN,0.9989247075862977,0.8271604938271605,0.6568627450980392,0.73224043715847,0.8674015672646872,0.6699312604229031
