Model,Accuracy,Precision,Recall,F1-Score,AUC,AUPRC
LogisticRegression,0.9937238034628805,0.2401129943502825,0.8333333333333334,0.37280701754385964,0.9829717049685249,0.7201936328473604
AdaBoost,0.9910684895433299,0.1762208067940552,0.8137254901960784,0.28970331588132636,0.9802870386063238,0.7116080709318771
LightGBM,0.8560970471542432,0.011463738385422952,0.95,0.02265410754739478,0.9775451971439626,0.6822708803223722
CatBoost,0.998990541815708,0.7916666666666666,0.7450980392156863,0.7676767676767676,0.9770089662099251,0.7875718330942906
LightGBM_CV,0.9989817773252344,0.6640625,0.85,0.7456140350877193,0.9758877633568991,0.8327904848817836
SVM,0.9942943667844368,0.25617283950617287,0.8137254901960784,0.38967136150234744,0.9754289579557162,0.6941240888471107
XGBoost,0.9928548857132825,0.17819706498951782,0.85,0.29462738301559793,0.975050912736098,0.7487904034641909
RandomForest,0.999100265531392,0.8426966292134831,0.7352941176470589,0.7853403141361257,0.9637615861881295,0.7716859979000892
NaiveBayes,0.9925826768197679,0.18449197860962566,0.6764705882352942,0.28991596638655465,0.9572245244018824,0.24311138401949253
KNN,0.9924948978472207,0.20149253731343283,0.7941176470588235,0.32142857142857145,0.9044085842047906,0.3377669103058392
DecisionTree,0.9950185433079506,0.2727272727272727,0.7352941176470589,0.3978779840848806,0.7943089083787123,0.45487012076693734
